"date","county","county.1","date.1","total.contacts","completed.21d.total","incomplete.dead","under.followup","new.on.day","healthy.on.day","ill.on.day","unvisited.on.day","unseen.on.day","completed.21d.followup","tracers.on.day","population","alive.non.case","alive.suspect","alive.probable","alive.confirm","cum.non.case","cum.suspect","cum.probable","cum.confirm","cum.dead.suspect","cum.dead.probable","cum.dead.confirmed","CFR"
2014-08-14,"Bombali","Bombali",2014-08-14,146,NA,NA,NA,0,134,0,NA,12,0,0.92,494139,0,0,0,0,10,1,1,7,0,0,1,14.3
2014-08-14,"Bonthe","Bonthe",2014-08-14,0,NA,NA,NA,0,0,0,NA,0,0,NA,168729,0,0,0,0,0,0,0,1,0,0,0,0
2014-08-14,"Kailahun","Kailahun",2014-08-14,366,NA,NA,NA,NA,354,10,NA,0,21,0.99,465048,5,0,0,11,206,0,32,389,2,32,157,40.4
2014-08-14,"Kambia","Kambia",2014-08-14,0,NA,NA,NA,0,0,0,NA,0,0,NA,341690,0,0,0,0,1,0,0,1,0,0,0,0
2014-08-14,"Kenema","Kenema",2014-08-14,448,NA,NA,NA,30,409,2,NA,39,27,NA,653013,2,2,1,1,279,3,1,261,1,0,107,41
2014-08-14,"Koinadugu","Koinadugu",2014-08-14,0,NA,NA,NA,0,0,0,NA,0,0,NA,335471,0,0,0,0,15,0,0,0,0,0,0,0
2014-08-14,"Kono","Kono",2014-08-14,0,NA,NA,NA,0,0,0,NA,0,0,NA,325003,0,0,0,0,15,33,1,1,0,0,0,0
2014-08-14,"Moyamba","Moyamba",2014-08-14,73,NA,NA,NA,0,73,0,NA,0,0,1,278119,0,0,0,0,12,0,0,5,0,0,3,60
2014-08-14,"National","National",2014-08-14,2099,NA,NA,NA,85,1956,14,NA,131,68,0.94,6348350,13,3,1,15,680,39,38,733,5,34,273,37.2
2014-08-14,"Port Loko","Port Loko",2014-08-14,471,NA,NA,NA,0,449,2,NA,20,0,0.96,557978,0,0,0,0,7,0,1,24,1,1,1,4.2
2014-08-14,"Pujehun","Pujehun",2014-08-14,47,NA,NA,NA,0,47,0,NA,0,0,1,335574,0,0,0,0,2,0,0,3,0,0,0,0
2014-08-14,"Tonkolili","Tonkolili",2014-08-14,19,NA,NA,NA,8,19,0,NA,2,0,1,434937,0,0,0,0,10,0,0,2,0,0,0,0
2014-08-14,"Western area rural","Western area rural",2014-08-14,26,NA,NA,NA,3,26,0,NA,0,0,1,263619,1,0,0,0,6,0,0,1,0,0,0,0
2014-08-14,"Western area urban","Western area urban",2014-08-14,334,NA,NA,NA,35,334,0,NA,0,20,1,1040888,2,1,0,2,58,1,1,15,1,1,2,13.3
2014-08-15,"Bo","Bo",2014-08-15,189,NA,NA,NA,22,162,2,NA,27,2,0.86,654142,0,0,0,0,59,1,1,23,0,0,2,8.7
2014-08-15,"Bo","Bo",2014-08-15,189,NA,NA,NA,22,162,2,NA,27,2,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1063,1439,3.8
2014-08-15,"Bombali","Bombali",2014-08-15,151,NA,NA,NA,5,142,0,NA,9,0,0.94,494139,1,0,0,0,11,1,1,7,0,0,1,14.3
2014-08-15,"Bonthe","Bonthe",2014-08-15,0,NA,NA,NA,0,0,0,NA,0,0,NA,168729,0,0,0,0,0,0,0,1,0,0,0,0
2014-08-15,"Kailahun","Kailahun",2014-08-15,337,NA,NA,NA,6,336,0,NA,1,24,0.99,465048,0,0,0,0,206,0,32,389,2,32,160,41.1
2014-08-15,"Kambia","Kambia",2014-08-15,13,NA,NA,NA,0,13,0,NA,0,0,1,341690,0,0,0,0,1,0,0,1,0,0,0,0
2014-08-15,"Kenema","Kenema",2014-08-15,541,NA,NA,NA,53,490,0,NA,51,21,0.91,653013,18,0,2,8,299,1,2,270,1,0,111,41.1
2014-08-15,"Koinadugu","Koinadugu",2014-08-15,0,NA,NA,NA,0,0,0,NA,0,0,NA,335471,0,0,0,0,15,0,0,0,0,0,0,0
2014-08-15,"Kono","Kono",2014-08-15,0,NA,NA,NA,0,0,0,NA,0,0,NA,325003,0,0,0,0,15,33,1,1,0,0,0,0
2014-08-15,"Kono","Kono",2014-08-15,0,NA,NA,NA,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-15,"Moyamba","Moyamba",2014-08-15,79,NA,NA,NA,6,79,0,NA,0,0,1,278119,0,0,0,1,12,0,0,6,0,0,3,50
2014-08-15,"National","National",2014-08-15,2268,NA,NA,NA,179,2135,7,NA,117,58,0.94,6348350,26,0,2,13,708,37,39,747,5,34,280,37.5
2014-08-15,"Port Loko","Port Loko",2014-08-15,483,NA,NA,NA,12,465,3,NA,15,0,0.96,557978,1,0,0,2,8,0,1,26,1,1,1,3.8
2014-08-15,"Pujehun","Pujehun",2014-08-15,46,NA,NA,NA,14,46,0,NA,14,0,1,335574,0,0,0,0,2,0,0,3,0,0,0,0
2014-08-15,"Tonkolili","Tonkolili",2014-08-15,8,NA,NA,NA,0,8,0,NA,0,11,1,434937,0,0,0,0,10,0,0,2,0,0,0,0
2014-08-15,"Western area rural","Western area rural",2014-08-15,36,NA,NA,NA,10,36,0,NA,0,0,1,263619,1,0,0,2,7,0,0,3,0,0,0,0
2014-08-15,"Western area urban","Western area urban",2014-08-15,385,NA,NA,NA,51,385,2,NA,0,0,0.99,1040888,5,0,0,0,63,1,1,15,1,1,2,13.3
2014-08-16,"Bo","Bo",2014-08-16,189,NA,NA,NA,0,178,2,NA,9,0,0.94,654142,0,2,1,1,59,3,1,24,0,0,2,8.3
2014-08-16,"Bombali","Bombali",2014-08-16,166,NA,NA,NA,0,153,1,NA,12,11,0.92,494139,0,0,0,0,11,1,1,7,0,0,1,14.3
2014-08-16,"Bonthe","Bonthe",2014-08-16,0,NA,NA,NA,0,0,0,NA,0,0,NA,168729,0,0,0,0,0,0,0,1,0,0,0,0
2014-08-16,"Kailahun","Kailahun",2014-08-16,359,NA,NA,NA,6,355,4,NA,2,18,0.99,465048,0,0,0,0,206,0,32,389,2,32,162,41.6
2014-08-16,"Kambia","Kambia",2014-08-16,13,NA,NA,NA,0,13,0,NA,0,0,NA,341690,0,0,0,0,1,0,0,1,0,0,0,0
2014-08-16,"Kenema","Kenema",2014-08-16,464,NA,NA,NA,53,419,0,NA,45,14,0.9,653013,10,4,0,3,311,5,0,273,1,0,116,42.5
2014-08-16,"Koinadugu","Koinadugu",2014-08-16,0,NA,NA,NA,0,0,0,NA,0,0,NA,335471,0,0,0,0,15,0,0,0,0,0,0,0
2014-08-16,"Kono","Kono",2014-08-16,0,NA,NA,NA,0,0,0,NA,0,0,NA,325003,1,0,0,0,16,33,1,1,0,0,0,0
2014-08-16,"Moyamba","Moyamba",2014-08-16,70,NA,NA,NA,0,70,0,NA,0,9,1,278119,0,0,0,0,12,0,0,6,0,0,3,50
2014-08-16,"National","National",2014-08-16,2212,NA,NA,NA,79,2137,7,NA,95,52,0.97,6348350,15,6,1,10,726,42,37,757,5,34,287,37.9
2014-08-16,"Port Loko","Port Loko",2014-08-16,470,NA,NA,NA,0,470,0,NA,13,0,1,557978,3,0,0,2,11,0,1,28,1,1,1,3.6
2014-08-16,"Pujehun","Pujehun",2014-08-16,46,NA,NA,NA,14,46,0,NA,14,0,1,335574,0,0,0,0,2,0,0,3,0,0,0,0
2014-08-16,"Tonkolili","Tonkolili",2014-08-16,8,NA,NA,NA,0,8,0,NA,0,0,NA,434937,0,0,0,0,10,0,0,2,0,0,0,0
2014-08-16,"Western area rural","Western area rural",2014-08-16,36,NA,NA,NA,0,36,0,NA,0,0,1,263619,0,0,0,0,7,0,0,3,0,0,0,0
2014-08-16,"Western area urban","Western area urban",2014-08-16,391,NA,NA,NA,6,389,0,NA,0,0,0.99,1040888,1,0,0,4,65,0,1,19,1,1,2,10.5
2014-08-17,"Bo","Bo",2014-08-17,156,NA,NA,NA,8,151,1,NA,4,41,0.97,654142,0,0,0,0,62,0,1,24,0,0,2,20
2014-08-17,"Bombali","Bombali",2014-08-17,162,NA,NA,NA,10,162,0,NA,14,0,1,494139,0,0,0,0,11,1,1,7,0,0,1,0
2014-08-17,"Bonthe","Bonthe",2014-08-17,0,NA,NA,NA,0,0,0,NA,0,0,NA,168729,0,0,0,0,0,0,0,1,0,0,0,0
2014-08-17,"Kailahun","Kailahun",2014-08-17,362,NA,NA,NA,19,358,4,NA,0,14,0.99,465048,6,0,0,12,212,0,29,401,2,32,167,41.6
2014-08-17,"Kambia","Kambia",2014-08-17,13,NA,NA,NA,0,13,0,NA,0,0,1,341690,0,0,0,0,1,0,0,1,0,0,0,0
2014-08-17,"Kenema","Kenema",2014-08-17,579,NA,NA,NA,15,530,1,NA,49,31,0.92,653013,0,3,0,4,314,5,0,277,1,0,121,43.7
2014-08-17,"Koinadugu","Koinadugu",2014-08-17,0,NA,NA,NA,0,0,0,NA,0,0,NA,335471,0,0,0,0,15,0,0,0,0,0,0,0
2014-08-17,"Kono","Kono",2014-08-17,0,NA,NA,NA,0,0,0,NA,0,0,NA,325003,0,0,0,0,16,33,1,1,0,0,0,0
2014-08-17,"Moyamba","Moyamba",2014-08-17,79,NA,NA,NA,0,79,0,NA,0,0,1,278119,0,0,0,0,12,0,0,6,0,0,3,0
2014-08-17,"National","National",2014-08-17,2323,NA,NA,NA,72,2265,6,NA,79,86,0.98,6348350,9,3,0,18,741,39,34,775,5,34,297,38.3
2014-08-17,"Port Loko","Port Loko",2014-08-17,488,NA,NA,NA,17,488,0,NA,12,0,1,557978,0,0,0,0,11,0,1,28,1,1,1,0
2014-08-17,"Pujehun","Pujehun",2014-08-17,46,NA,NA,NA,0,46,0,NA,0,0,1,335574,0,0,0,0,2,0,0,3,0,0,0,0
2014-08-17,"Tonkolili","Tonkolili",2014-08-17,8,NA,NA,NA,0,8,0,NA,0,0,1,434937,0,0,0,0,10,0,0,2,0,0,0,0
2014-08-17,"Western area rural","Western area rural",2014-08-17,36,NA,NA,NA,0,36,0,NA,0,0,1,263619,1,0,0,1,8,0,0,4,0,0,0,0
2014-08-17,"Western area urban","Western area urban",2014-08-17,394,NA,NA,NA,3,394,0,NA,0,0,1,1040888,2,0,0,1,67,0,1,20,1,1,2,50
2014-08-18,"Bo","Bo",2014-08-18,156,NA,NA,NA,0,147,1,NA,8,0,0.95,654142,0,0,0,0,62,0,1,24,0,0,2,8.3
2014-08-18,"Bombali","Bombali",2014-08-18,205,NA,NA,NA,34,177,0,NA,28,5,0.86,494139,0,0,0,0,11,1,1,7,0,0,1,14.3
2014-08-18,"Bonthe","Bonthe",2014-08-18,0,NA,NA,NA,0,0,0,NA,0,0,NA,168729,0,0,0,0,0,0,0,1,0,0,0,0
2014-08-18,"Kailahun","Kailahun",2014-08-18,360,NA,NA,NA,0,357,3,NA,0,2,1,465048,0,0,0,0,212,0,32,401,2,32,172,42.9
2014-08-18,"Kambia","Kambia",2014-08-18,12,NA,NA,NA,0,0,0,NA,0,0,NA,341690,0,0,0,0,1,0,0,1,0,0,0,0
2014-08-18,"Kenema","Kenema",2014-08-18,619,NA,NA,NA,16,570,3,NA,46,65,0.93,653013,6,1,0,2,324,1,0,280,1,0,124,44.3
2014-08-18,"Koinadugu","Koinadugu",2014-08-18,0,NA,NA,NA,0,0,0,NA,0,0,NA,335471,2,0,0,0,17,0,0,0,0,0,0,0
2014-08-18,"Kono","Kono",2014-08-18,21,NA,NA,NA,21,21,0,NA,0,0,1,325003,0,0,0,0,16,33,1,1,0,0,0,0
2014-08-18,"Moyamba","Moyamba",2014-08-18,83,NA,NA,NA,4,83,0,NA,0,9,1,278119,0,0,0,0,12,0,0,6,0,0,3,50
2014-08-18,"National","National",2014-08-18,2428,NA,NA,NA,91,2311,8,NA,97,123,0.96,6348350,13,1,0,2,758,35,37,778,5,34,305,39.2
2014-08-18,"Port Loko","Port Loko",2014-08-18,516,NA,NA,NA,16,501,0,NA,15,0,0.97,557978,1,0,0,0,12,0,1,28,1,1,1,3.6
2014-08-18,"Pujehun","Pujehun",2014-08-18,48,NA,NA,NA,0,47,1,NA,0,12,1,335574,0,0,0,0,2,0,0,3,0,0,0,0
2014-08-18,"Tonkolili","Tonkolili",2014-08-18,8,NA,NA,NA,0,8,0,NA,0,0,1,434937,0,0,0,0,10,0,0,2,0,0,0,0
2014-08-18,"Western area rural","Western area rural",2014-08-18,36,NA,NA,NA,0,36,0,NA,0,0,1,263619,1,0,0,0,9,0,0,4,0,0,0,0
2014-08-18,"Western area urban","Western area urban",2014-08-18,364,NA,NA,NA,0,364,0,NA,0,30,1,1040888,3,0,0,0,70,0,1,20,1,1,2,10
2014-08-19,"Bo","Bo",2014-08-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,654142,0,1,0,0,62,1,1,24,0,0,2,8.3
2014-08-19,"Bombali","Bombali",2014-08-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,494139,0,3,4,0,11,1,5,7,0,0,1,14.3
2014-08-19,"Bonthe","Bonthe",2014-08-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168729,0,0,0,0,0,0,0,1,0,0,0,0
2014-08-19,"Kailahun","Kailahun",2014-08-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,465048,0,14,0,5,212,14,32,406,2,32,173,42.6
2014-08-19,"Kambia","Kambia",2014-08-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,341690,0,0,0,0,1,0,0,1,0,0,0,0
2014-08-19,"Kenema","Kenema",2014-08-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,653013,0,14,7,0,324,15,7,280,1,0,130,46.4
2014-08-19,"Koinadugu","Koinadugu",2014-08-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335471,0,0,0,0,17,0,0,0,0,0,0,0
2014-08-19,"Kono","Kono",2014-08-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,325003,0,0,0,0,16,33,1,1,0,0,0,0
2014-08-19,"Moyamba","Moyamba",2014-08-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,278119,0,2,2,0,12,2,2,6,0,0,3,50
2014-08-19,"National","National",2014-08-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6348350,0,40,15,5,758,72,52,783,5,34,312,39.8
2014-08-19,"Port Loko","Port Loko",2014-08-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,557978,0,3,2,0,12,3,3,28,1,1,1,3.6
2014-08-19,"Pujehun","Pujehun",2014-08-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335574,0,0,0,0,2,0,0,3,0,0,0,0
2014-08-19,"Tonkolili","Tonkolili",2014-08-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,434937,0,0,0,0,10,0,0,2,0,0,0,0
2014-08-19,"Western area rural","Western area rural",2014-08-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263619,0,3,0,0,9,3,0,4,0,0,0,0
2014-08-19,"Western area urban","Western area urban",2014-08-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1040888,0,0,0,0,70,0,1,20,1,1,2,10
2014-08-20,"Bo","Bo",2014-08-20,212,NA,NA,NA,10,208,0,NA,4,0,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-20,"Bombali","Bombali",2014-08-20,206,NA,NA,NA,3,198,0,NA,8,0,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-20,"Bonthe","Bonthe",2014-08-20,0,NA,NA,NA,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-20,"Kailahun","Kailahun",2014-08-20,358,NA,NA,NA,11,358,0,NA,0,140,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-20,"Kambia","Kambia",2014-08-20,12,NA,NA,NA,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-20,"Kenema","Kenema",2014-08-20,511,NA,NA,NA,21,470,0,NA,41,0,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-20,"Koinadugu","Koinadugu",2014-08-20,0,NA,NA,NA,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-20,"Kono","Kono",2014-08-20,0,NA,NA,NA,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-20,"Moyamba","Moyamba",2014-08-20,121,NA,NA,NA,0,121,0,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-20,"National","National",2014-08-20,2434,NA,NA,NA,105,2347,14,NA,71,190,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-20,"Port Loko","Port Loko",2014-08-20,584,NA,NA,NA,60,562,14,NA,18,17,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-20,"Pujehun","Pujehun",2014-08-20,14,NA,NA,NA,0,14,0,NA,0,33,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-20,"Tonkolili","Tonkolili",2014-08-20,8,NA,NA,NA,0,8,0,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-20,"Western area rural","Western area rural",2014-08-20,41,NA,NA,NA,0,41,0,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-20,"Western area urban","Western area urban",2014-08-20,367,NA,NA,NA,0,367,0,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-21,"Bo","Bo",2014-08-21,217,NA,NA,NA,16,208,4,NA,4,11,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-21,"Bombali","Bombali",2014-08-21,232,NA,NA,NA,26,222,1,NA,9,0,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-21,"Bonthe","Bonthe",2014-08-21,0,NA,NA,NA,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-21,"Kailahun","Kailahun",2014-08-21,358,NA,NA,NA,4,278,0,NA,80,5,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-21,"Kambia","Kambia",2014-08-21,12,NA,NA,NA,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-21,"Kenema","Kenema",2014-08-21,455,NA,NA,NA,43,413,3,NA,39,43,0.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-21,"Koinadugu","Koinadugu",2014-08-21,0,NA,NA,NA,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-21,"Kono","Kono",2014-08-21,15,NA,NA,NA,15,15,0,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-21,"Moyamba","Moyamba",2014-08-21,114,NA,NA,NA,11,113,1,NA,0,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-21,"National","National",2014-08-21,2423,NA,NA,NA,120,2227,11,NA,172,67,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-21,"Port Loko","Port Loko",2014-08-21,590,NA,NA,NA,5,548,2,NA,40,0,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-21,"Pujehun","Pujehun",2014-08-21,14,NA,NA,NA,0,14,0,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-21,"Tonkolili","Tonkolili",2014-08-21,8,NA,NA,NA,0,8,0,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-21,"Western area rural","Western area rural",2014-08-21,41,NA,NA,NA,0,41,0,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-21,"Western area urban","Western area urban",2014-08-21,367,NA,NA,NA,0,367,0,NA,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-22,"Bo","Bo",2014-08-22,217,NA,NA,NA,0,213,1,NA,3,3,0.98,654142,1,0,0,1,71,0,1,27,0,0,2,7.4
2014-08-22,"Bombali","Bombali",2014-08-22,250,NA,NA,NA,25,247,1,NA,2,2,0.99,494139,0,0,0,0,15,1,1,11,0,0,1,9.1
2014-08-22,"Bonthe","Bonthe",2014-08-22,0,NA,NA,NA,0,0,0,NA,0,0,NA,168729,0,0,0,0,0,0,0,1,0,0,0,0
2014-08-22,"Kailahun","Kailahun",2014-08-22,284,NA,NA,NA,4,282,2,NA,0,0,1,465048,3,0,0,1,220,14,32,411,4,32,180,43.8
2014-08-22,"Kambia","Kambia",2014-08-22,12,NA,NA,NA,0,0,0,NA,0,0,NA,341690,0,0,0,0,1,0,0,1,0,0,0,0
2014-08-22,"Kenema","Kenema",2014-08-22,1069,NA,NA,NA,23,437,3,NA,35,35,0.41,653013,0,0,0,0,358,4,0,290,1,0,138,47.6
2014-08-22,"Koinadugu","Koinadugu",2014-08-22,0,NA,NA,NA,0,0,0,NA,0,0,NA,335471,0,0,0,0,17,0,0,0,0,0,0,0
2014-08-22,"Kono","Kono",2014-08-22,15,NA,NA,NA,0,15,0,NA,0,0,1,325003,0,0,0,0,16,33,1,1,1,0,0,0
2014-08-22,"Moyamba","Moyamba",2014-08-22,115,NA,NA,NA,1,15,0,NA,0,0,1,278119,0,0,0,0,13,0,1,8,0,0,4,50
2014-08-22,"National","National",2014-08-22,3026,NA,NA,NA,93,2273,7,NA,81,81,0.75,6348350,8,0,0,9,825,52,38,823,8,34,329,40
2014-08-22,"Port Loko","Port Loko",2014-08-22,595,NA,NA,NA,0,595,0,NA,41,41,1,557978,0,0,0,0,13,0,1,33,1,1,1,3
2014-08-22,"Pujehun","Pujehun",2014-08-22,27,NA,NA,NA,13,27,0,NA,0,0,1,335574,0,0,0,0,2,0,0,4,0,0,0,0
2014-08-22,"Tonkolili","Tonkolili",2014-08-22,8,NA,NA,NA,0,8,0,NA,0,0,1,434937,2,0,0,6,12,0,0,8,0,0,1,0
2014-08-22,"Western area rural","Western area rural",2014-08-22,52,NA,NA,NA,11,52,0,NA,0,0,1,263619,0,0,0,1,12,0,0,6,0,0,0,0
2014-08-22,"Western area urban","Western area urban",2014-08-22,382,NA,NA,NA,16,382,0,NA,0,0,1,1040888,2,0,0,0,75,0,1,22,1,1,2,9.1
2014-08-23,"Bo","Bo",2014-08-23,157,NA,NA,NA,0,156,1,NA,0,60,1,654142,0,0,0,6,71,0,1,33,0,0,2,6.1
2014-08-23,"Bombali","Bombali",2014-08-23,250,NA,NA,NA,4,245,3,NA,2,4,0.99,494139,1,0,0,6,16,1,1,17,0,0,1,5.9
2014-08-23,"Bonthe","Bonthe",2014-08-23,0,NA,NA,NA,0,0,0,NA,0,0,1,168729,0,0,0,0,0,0,0,1,0,0,0,0
2014-08-23,"Kailahun","Kailahun",2014-08-23,217,NA,NA,NA,24,216,1,NA,0,61,1,465048,1,0,0,6,221,14,32,417,4,32,180,43.2
2014-08-23,"Kambia","Kambia",2014-08-23,12,NA,NA,NA,0,0,0,NA,0,0,NA,341690,0,0,0,0,1,0,0,1,0,0,0,0
2014-08-23,"Kenema","Kenema",2014-08-23,448,NA,NA,NA,0,434,4,NA,31,35,0.98,653013,19,1,0,12,380,1,0,303,1,0,142,46.9
2014-08-23,"Koinadugu","Koinadugu",2014-08-23,0,NA,NA,NA,0,0,0,NA,0,0,NA,335471,0,0,0,0,17,0,0,0,0,0,0,0
2014-08-23,"Kono","Kono",2014-08-23,0,NA,NA,NA,0,0,0,NA,0,0,NA,325003,1,0,0,0,17,33,1,1,1,0,0,0
2014-08-23,"Moyamba","Moyamba",2014-08-23,15,NA,NA,NA,0,0,0,NA,0,0,1,278119,1,0,0,1,15,0,0,9,0,0,4,44.4
2014-08-23,"National","National",2014-08-23,2136,NA,NA,NA,28,2085,12,NA,67,174,0.98,6348350,27,1,0,56,856,49,36,881,8,34,333,37.8
